	PD_whole_tree
RhinocerosBeetleGrub.0.Feces.1.1	54.45565
Alpaca.0.Feces.1.1	596.2649
AmericanGuineaPig.0.Feces.1.1	107.46609
BeardedDragon.0.Feces.1.1	75.61137
Bedbug.1.Gut.1.1	4.11689
Bedbug.2.Gut.1.1	3.10995
Bedbug.3.Gut.1.1	8.2072
Bedbug.4.Gut.1.1	2.18765
Bedbug.5.Gut.1.1	3.76639
Bedbug.6.Gut.1.1	3.78761
Bedbug.7.Gut.1.1	3.18464
Bee.M1.Gut.1.1	16.72292
Bee.M2.Gut.1.1	16.30826
Bee.M3.Gut.1.1	6.58925
Bee.M4.Gut.1.1	12.75797
Bee.M5.Gut.1.1	5.91916
Bee.R1.Gut.1.1	14.68246
Bee.R2.Gut.1.1	11.76479
Bee.R3.Gut.1.1	12.48597
Bee.R4.Gut.1.1	20.36656
Bee.R5.Gut.1.1	1.05005
Pig.BI0331.Feces.1.1	179.52307
Bonobo.IKpp3158.Feces.1.1	93.46654
Bonobo.IKpp3276.Feces.1.1	105.29822
Bonobo.IKpp3358.Feces.1.1	127.5595
Bonobo.IKpp3469.Feces.1.1	164.83425
Bonobo.IKpp3513.Feces.1.1	192.53597
Bonobo.IKpp3650.Feces.1.1	147.19409
Bonobo.IKpp3701.Feces.1.1	196.77138
Bonobo.IKpp3777.Feces.1.1	118.95723
Bonobo.IKpp4184.Feces.1.1	88.51774
Bonobo.IKpp4214.Feces.1.1	151.51265
Bonobo.KRpp02.Feces.1.1	137.29272
Bonobo.KRpp05.Feces.1.1	163.27975
Bonobo.KRpp07.Feces.1.1	201.53118
Bonobo.KRpp10.Feces.1.1	172.0002
Bonobo.KRpp12.Feces.1.1	162.83278
Bonobo.KRpp21.Feces.1.1	111.40158
Bonobo.KRpp33.Feces.1.1	103.18472
Bonobo.KRpp35.Feces.1.1	113.46115
Bonobo.KRpp52.Feces.1.1	143.34643
Bonobo.KRpp57.Feces.1.1	109.36207
Bonobo.KRpp67.Feces.1.1	191.09724
Bonobo.LGpp4300.Feces.1.1	52.80475
Bonobo.LGpp4314.Feces.1.1	41.17643
Bonobo.LGpp4322.Feces.1.1	101.46679
Bonobo.LGpp4327.Feces.1.1	157.30292
Bonobo.LKpp645.Feces.1.1	162.07447
Bonobo.LKpp647.Feces.1.1	183.76357
Bonobo.LKpp653.Feces.1.1	151.36426
Bonobo.LKpp661.Feces.1.1	215.64302
Bonobo.LKpp665.Feces.1.1	163.72455
Bonobo.LKpp668.Feces.1.1	107.84258
Bonobo.LKpp670.Feces.1.1	229.0016
Bonobo.LKpp682.Feces.1.1	166.06979
Bonobo.LKpp685.Feces.1.1	130.68522
Bonobo.LKpp686.Feces.1.1	192.57281
Bonobo.TLpp3793.Feces.1.1	90.86374
Bonobo.TLpp3797.Feces.1.1	169.82097
Bonobo.TLpp3814.Feces.1.1	187.47681
Bonobo.TLpp3816.Feces.1.1	124.33742
Bonobo.TLpp3820.Feces.1.1	147.61916
Bonobo.TLpp3821.Feces.1.1	156.00385
Bonobo.TLpp3824.Feces.1.1	137.68738
Bonobo.TLpp3826.Feces.1.1	102.6735
Bonobo.TLpp3838.Feces.1.1	163.92397
Bonobo.TLpp3842.Feces.1.1	146.08302
Bonobo.TLpp3856.Feces.1.1	157.18377
Bonobo.TLpp3862.Feces.1.1	110.45138
Bonobo.TLpp3882.Feces.1.1	160.78979
Bonobo.TLpp3889.Feces.1.1	149.10308
Bonobo.TLpp3905.Feces.1.1	125.58552
Bonobo.TLpp3910.Feces.1.1	166.3168
Bonobo.TLpp3911.Feces.1.1	88.81551
Bonobo.TLpp3915.Feces.1.1	108.1609
Bonobo.TLpp3916.Feces.1.1	80.85994
Bonobo.TLpp3918.Feces.1.1	80.61428
Bonobo.TLpp3925.Feces.1.1	157.89494
Bonobo.TLpp3926.Feces.1.1	118.94643
Bonobo.TLpp3927.Feces.1.1	128.31366
Bonobo.TLpp3929.Feces.1.1	169.17513
Bonobo.TLpp3932.Feces.1.1	161.95343
Bonobo.TLpp3936.Feces.1.1	170.16884
Bonobo.TLpp3939.Feces.1.1	154.01512
Bonobo.TLpp3940.Feces.1.1	159.06213
Bonobo.TLpp3942.Feces.1.1	162.16465
Bonobo.TLpp3943.Feces.1.1	158.82387
Bonobo.TLpp3944.Feces.1.1	136.50459
Bonobo.TLpp3945.Feces.1.1	109.8583
Bonobo.TLpp3946.Feces.1.1	123.71053
Bonobo.TLpp3948.Feces.1.1	115.99274
BoxElder.1.Gut.1.1	12.09564
BoxElder.2.Gut.1.1	5.44671
CaliforniaRabbit.0.Feces.1.1	90.00984
Cat.0.Feces.1.1	122.47054
CentralChimpanzee.BQptt481.Feces.1.1	140.82317
CentralChimpanzee.GTptt306.Feces.1.1	69.603
CentralChimpanzee.MTptt350.Feces.1.1	148.77375
CentralChimpanzee.SYptt43.Feces.1.1	224.99
