TaxonRank	TaxonName	AerobicStatus	Explanation
Class	Clostridia	obligate anaerobe	Inferred: Overwhelming majority of lower-level taxa detected were obligately anaerobic
Family	Acetobacteraceae	aerobe	Family description
Family	Bacillaceae	facultative anaerobe	Family description ('aerobic or facultatively anaerobic')
Family	Bacteroidaceae	obligate anaerobe	Family description
Family	Caulobacteraceae	aerobe	Family description
Family	Clostridiaceae	obligate anaerobe	Family description ('generally obligately anaerobic rods')
Family	Coriobacteriaceae	obligate anaerobe	Inferred: all lower-level taxa detected were obligately anaerobic
Family	Enterobacteriaceae	facultative anaerobe	Family description
Family	Erysipelotrichaceae	variable	Family description
Family	Flavobacteriaceae	aerobe	Family description ('usually aerobic')
Family	Lachnospiraceae	obligate anaerobe	Family description
Family	Lactobacillaceae	facultative anaerobe	By inspection: three constituent genera are facultative, microaerophilic, or aerobic
Family	Marinilabiaceae	facultative anaerobe	By inspection: sole constituent genus is facultatively anaerobic
Family	Mycoplasmataceae	facultative anaerobe	Family description ('facultatively anaerobic in most cases')
Family	Phyllobacteriaceae	aerobe	Family description
Family	Prevotellaceae	obligate anaerobe	Family description
Family	Rhodobacteraceae	facultative anaerobe	By inspection: Family description is either facultative anaerobe or aerobic
Family	Rhodospirillaceae	variable	Genus definition for the type genus is variable, thus the family is variable
Family	Rikenellaceae	obligate anaerobe	By inspection: both constituent genera are obligately anaerobic
Family	Ruminococcaceae	obligate anaerobe	Family description
Family	S24-7	obligate anaerobe	Sole cultured isolate is obligately anaerobic (PMID 27670113), genomic analysis indicates an obligately anaerobic lifestyle (PMID 27388460)
Genus	[Eubacterium]	obligate anaerobe	By inspection: species E biforme and E. cylindroides are anaerobic according to species definition
Genus	[Prevotella]	obligate anaerobe	Genus definition (for Alloprevotella)
Genus	Abiotrophia	facultative anaerobe	Genus definition
Genus	Achromobacter	aerobe	Genus definition
Genus	Acidaminococcus	obligate anaerobe	Genus definition
Genus	Acidovorax	aerobe	Genus definition
Genus	Adlercreutzia	obligate anaerobe	Genus definition
Genus	Aerococcus	facultative anaerobe	Genus definition
Genus	Aeromicrobium	aerobe	Genus definition
Genus	Aggregatibacter	facultative anaerobe	Genus definition
Genus	Agrobacterium	aerobe	Genus definition
Genus	Akkermansia	obligate anaerobe	Genus definition
Genus	Alistipes	obligate anaerobe	Genus definition
Genus	Alkaliphilus	obligate anaerobe	Genus definition
Genus	Anaerococcus	obligate anaerobe	Genus definition
Genus	Anaerotruncus	obligate anaerobe	Genus definition
Genus	Aquabacterium	microaerobe	Genus definition
Genus	Arthrobacter	aerobe	Genus definition
Genus	Atopobium	obligate anaerobe	Genus definition
Genus	Aurantimonas	obligate anaerobe	Genus definition
Genus	Azospira	microaerobe	Genus definition
Genus	Bacillus	aerobe	Genus definition
Genus	Bacteroides	obligate anaerobe	Genus definition
Genus	Beutenbergia	microaerobe or aerobe	Genus definition
Genus	Bifidobacterium	obligate anaerobe	Genus definition
Genus	Blautia	obligate anaerobe	Genus definition
Genus	Bosea	aerobe	Genus definition
Genus	Bradyrhizobium	aerobe	Genus definition
Genus	Brevibacillus	aerobe	Genus definition
Genus	Brevundimonas	aerobe	Genus definition
Genus	Bulleidia	obligate anaerobe	Genus definition
Genus	Butyricicoccus	obligate anaerobe	Genus definition
